id,name,value,datetime
1293,Demanda real,28538,9/2/2018 20:10
1293,Demanda real,28631,9/2/2018 20:20
1293,Demanda real,28748,9/2/2018 20:30
1293,Demanda real,29172,9/2/2018 20:40
1293,Demanda real,29838,9/2/2018 20:50
1293,Demanda real,30449,9/2/2018 21:00
1293,Demanda real,30902,9/2/2018 21:10
1293,Demanda real,31048,9/2/2018 21:20
1293,Demanda real,31032,9/2/2018 21:30
1293,Demanda real,30966,9/2/2018 21:40
1293,Demanda real,30820,9/2/2018 21:50
1293,Demanda real,30907,9/2/2018 22:00
1293,Demanda real,30488,9/2/2018 22:10
1293,Demanda real,30252,9/2/2018 22:20
1293,Demanda real,30097,9/2/2018 22:30
1293,Demanda real,29787,9/2/2018 22:40
1293,Demanda real,29715,9/2/2018 22:50
1293,Demanda real,29134,9/2/2018 23:00
1293,Demanda real,28814,9/2/2018 23:10
1293,Demanda real,28607,9/2/2018 23:20
1293,Demanda real,28393,9/2/2018 23:30
1293,Demanda real,28103,9/2/2018 23:40
1293,Demanda real,27741,9/2/2018 23:50
1293,Demanda real,27384,9/3/2018 0:00
1293,Demanda real,27049,9/3/2018 0:10
1293,Demanda real,26868,9/3/2018 0:20
1293,Demanda real,26422,9/3/2018 0:30
1293,Demanda real,26161,9/3/2018 0:40
1293,Demanda real,25912,9/3/2018 0:50
1293,Demanda real,25615,9/3/2018 1:00
1293,Demanda real,25480,9/3/2018 1:10
1293,Demanda real,25250,9/3/2018 1:20
1293,Demanda real,24879,9/3/2018 1:30
1293,Demanda real,24792,9/3/2018 1:40
1293,Demanda real,24561,9/3/2018 1:50
1293,Demanda real,24162,9/3/2018 2:00
1293,Demanda real,24138,9/3/2018 2:10
1293,Demanda real,23965,9/3/2018 2:20
1293,Demanda real,23730,9/3/2018 2:30
1293,Demanda real,23666,9/3/2018 2:40
1293,Demanda real,23577,9/3/2018 2:50
1293,Demanda real,23193,9/3/2018 3:00
1293,Demanda real,23500,9/3/2018 3:10
1293,Demanda real,23369,9/3/2018 3:20
1293,Demanda real,23418,9/3/2018 3:30
1293,Demanda real,23530,9/3/2018 3:40
1293,Demanda real,23152,9/3/2018 3:50
1293,Demanda real,23206,9/3/2018 4:00
1293,Demanda real,23305,9/3/2018 4:10
1293,Demanda real,23246,9/3/2018 4:20
1293,Demanda real,23125,9/3/2018 4:30
1293,Demanda real,22999,9/3/2018 4:40
1293,Demanda real,23382,9/3/2018 4:50
1293,Demanda real,23301,9/3/2018 5:00
1293,Demanda real,23604,9/3/2018 5:10
1293,Demanda real,23619,9/3/2018 5:20
1293,Demanda real,23670,9/3/2018 5:30
1293,Demanda real,23641,9/3/2018 5:40
1293,Demanda real,23989,9/3/2018 5:50
1293,Demanda real,24431,9/3/2018 6:00
1293,Demanda real,25204,9/3/2018 6:10
1293,Demanda real,25646,9/3/2018 6:20
1293,Demanda real,26017,9/3/2018 6:30
1293,Demanda real,26637,9/3/2018 6:40
1293,Demanda real,26918,9/3/2018 6:50
1293,Demanda real,27494,9/3/2018 7:00
1293,Demanda real,28450,9/3/2018 7:10
1293,Demanda real,28806,9/3/2018 7:20
1293,Demanda real,29208,9/3/2018 7:30
1293,Demanda real,29210,9/3/2018 7:40
1293,Demanda real,29418,9/3/2018 7:50
1293,Demanda real,29365,9/3/2018 8:00
1293,Demanda real,30230,9/3/2018 8:10
1293,Demanda real,30764,9/3/2018 8:20
1293,Demanda real,31133,9/3/2018 8:30
1293,Demanda real,31538,9/3/2018 8:40
1293,Demanda real,31694,9/3/2018 8:50
1293,Demanda real,31990,9/3/2018 9:00
1293,Demanda real,32827,9/3/2018 9:10
1293,Demanda real,32982,9/3/2018 9:20
1293,Demanda real,33125,9/3/2018 9:30
1293,Demanda real,33333,9/3/2018 9:40
1293,Demanda real,33776,9/3/2018 9:50
1293,Demanda real,33982,9/3/2018 10:00
1293,Demanda real,34358,9/3/2018 10:10
1293,Demanda real,34516,9/3/2018 10:20
1293,Demanda real,34594,9/3/2018 10:30
1293,Demanda real,34890,9/3/2018 10:40
1293,Demanda real,35070,9/3/2018 10:50
1293,Demanda real,34609,9/3/2018 11:00
1293,Demanda real,34741,9/3/2018 11:10
1293,Demanda real,34918,9/3/2018 11:20
1293,Demanda real,35060,9/3/2018 11:30
1293,Demanda real,35249,9/3/2018 11:40
1293,Demanda real,35193,9/3/2018 11:50
1293,Demanda real,35325,9/3/2018 12:00
1293,Demanda real,35623,9/3/2018 12:10
1293,Demanda real,35713,9/3/2018 12:20
1293,Demanda real,36199,9/3/2018 12:30
1293,Demanda real,36388,9/3/2018 12:40
1293,Demanda real,36546,9/3/2018 12:50
1293,Demanda real,36574,9/3/2018 13:00
1293,Demanda real,36833,9/3/2018 13:10
1293,Demanda real,37128,9/3/2018 13:20
1293,Demanda real,37046,9/3/2018 13:30
1293,Demanda real,37103,9/3/2018 13:40
1293,Demanda real,37144,9/3/2018 13:50
1293,Demanda real,36641,9/3/2018 14:00
1293,Demanda real,36602,9/3/2018 14:10
1293,Demanda real,36548,9/3/2018 14:20
1293,Demanda real,36634,9/3/2018 14:30
1293,Demanda real,36412,9/3/2018 14:40
1293,Demanda real,36050,9/3/2018 14:50
1293,Demanda real,35940,9/3/2018 15:00
1293,Demanda real,35968,9/3/2018 15:10
1293,Demanda real,35944,9/3/2018 15:20
1293,Demanda real,35679,9/3/2018 15:30
1293,Demanda real,35577,9/3/2018 15:40
1293,Demanda real,35574,9/3/2018 15:50
1293,Demanda real,35641,9/3/2018 16:00
1293,Demanda real,35817,9/3/2018 16:10
1293,Demanda real,35763,9/3/2018 16:20
1293,Demanda real,35695,9/3/2018 16:30
1293,Demanda real,35735,9/3/2018 16:40
1293,Demanda real,35235,9/3/2018 16:50
1293,Demanda real,35599,9/3/2018 17:00
1293,Demanda real,35586,9/3/2018 17:10
1293,Demanda real,35341,9/3/2018 17:20
1293,Demanda real,35368,9/3/2018 17:30
1293,Demanda real,35223,9/3/2018 17:40
1293,Demanda real,35186,9/3/2018 17:50
1293,Demanda real,35088,9/3/2018 18:00
1293,Demanda real,34873,9/3/2018 18:10
1293,Demanda real,34736,9/3/2018 18:20
1293,Demanda real,34564,9/3/2018 18:30
1293,Demanda real,34381,9/3/2018 18:40
1293,Demanda real,34343,9/3/2018 18:50
1293,Demanda real,34046,9/3/2018 19:00
1293,Demanda real,34004,9/3/2018 19:10
1293,Demanda real,33811,9/3/2018 19:20
1293,Demanda real,33687,9/3/2018 19:30
1293,Demanda real,33532,9/3/2018 19:40
1293,Demanda real,33396,9/3/2018 19:50
1293,Demanda real,33209,9/3/2018 20:00
1293,Demanda real,33206,9/3/2018 20:10
1293,Demanda real,33348,9/3/2018 20:20
1293,Demanda real,33284,9/3/2018 20:30
1293,Demanda real,33652,9/3/2018 20:40
1293,Demanda real,34112,9/3/2018 20:50
1293,Demanda real,34083,9/3/2018 21:00
1293,Demanda real,34711,9/3/2018 21:10
1293,Demanda real,34728,9/3/2018 21:20
1293,Demanda real,34385,9/3/2018 21:30
1293,Demanda real,33904,9/3/2018 21:40
1293,Demanda real,33673,9/3/2018 21:50
1293,Demanda real,32866,9/3/2018 22:00
1293,Demanda real,32805,9/3/2018 22:10
1293,Demanda real,31943,9/3/2018 22:20
1293,Demanda real,31625,9/3/2018 22:30
1293,Demanda real,31000,9/3/2018 22:40
1293,Demanda real,30814,9/3/2018 22:50
1293,Demanda real,30186,9/3/2018 23:00
1293,Demanda real,29933,9/3/2018 23:10
1293,Demanda real,29663,9/3/2018 23:20
